Start Date,End Date,Phase,Hrs/Wk,TotalHrs,Key Activities,Deliverables,Status
1/28/2026,2026/2/28,1. Setup & Scoping,1,4,"• Set up public GitHub repository
• Define South London ICS boundaries (SEL, SWL, etc.)
• Install Python environment (folium, RoutingPy, streamlit)","• GitHub Repo Created
• Project Environment Ready","Boundaries confirmed, GitHub created. Need to confirm if Ambulance applys. Need to add mapping packages to Python environment"
3/1/2026,2026/3/31,1. Data Acquisition,1,4,"• Download GP & Hospital location data from NHS ODS
• Download shapefiles from ONS Open Geography Portal
• Review Dementia Surveillance CSV for schema matching",• Raw Data Collection stored locally,Data source for Dementia obtained along with prevelance at GP level.
4/1/2026,2026/4/26,1. Data Prep,1,4,"• Filter ODS data for South London GPs/Hospitals only
• Clean Dementia/Demographic CSVs to match ORG_CODE with GP location data","• Cleaned ""Master Dataset"" (CSVs) ready for mapping",
4/27/2026,2026/5/17,2. Core Mapping,6,17,"• Code basic map using folium
• Plot all GP practices and Acute Hospital sites as distinct markers",• Interactive Map visualizing GPs vs. Hospitals,NHS API call for GP locations
5/18/2026,2026/6/14,2. Routing Logic,6,23,"• Implement RoutingPy to calculate travel times (Car, Public Transport, Walking)
• Create logic to identify the ""nearest"" hospital by time, not just distance",• Travel Time Matrix (GP to Hospital),"RoutingPy, API - cache in Streamlit the matrix calcs. GitHub repo? store there. Public transport (bas, train - everything but driving). Car+Walk, Transport+Walk. No cycling. Time? 8-4pm average. 9am (arrival) if can't do average. Have a look at travel time distribution to inform how much is cached/size of calc."
6/15/2026,2026/6/30,2. UI Development,6,13,"• Build Streamlit web app wrapper
• Implement ""Accessibility Toggle"" (switch view between Car vs. Public Transport)",• Functional Web App Prototype,
7/1/2026,2026/7/19,3. Holiday,0,0,No work scheduled.,N/A,
7/20/2026,2026/8/9,4. Advanced Features,6,17,"• Overlay demographic and disease prevalence data (Heatmaps)
• Integrate ""Low Output Layer"" logic for underrepresented populations",• Demographic & Disease Heatmaps,
8/10/2026,2026/8/23,4. Dynamic Tooling,6,11,"• Build search tool: User inputs study site/area (e.g., Cancer); App returns suitable GP PICs","• ""Find a PIC"" Search Tool",
8/24/2026,2026/8/31,4. Final Polish,6,6,"• Code cleanup and commenting for transparency 
• Final testing and server deployment documentation.",• Final Project Completion,
,,,,,,,
,,,,,,,if there is time look into the reverse logic so given disease criteria - which site should we deliver at rather than which PIC should we partner with to deliver.
